Date,Day,Raw AMD,Sedimentation 1 Inlet,Sedimentation 1 Outlet,Sedimentation 2 Inlet,Sedimentation 2 Outlet,DSR 1,DSR 2,DSR 3,Water Reservoir,Slag Outlet
4/5/18,1,2.5,3.41,3.55,3.5,3.56,5.11,4.61,3.55,3.54,12.4
4/12/18,8,2.58,3.22,3.06,3.15,3.42,5.81,4.79,4.06,3.98,8.84
5/8/18,34,2.82,2.91,2.96,3.02,3.02,6.2,6.07,4.5,4.25,6.57
5/10/18,36,2.87,2.58,2.56,2.61,2.58,5.48,5.88,4.52,4.66,5.58
5/17/18,43,2.4,,2.89,-,2.84,4.39,4.9,5.01,5.21,9.06
5/31/18,57,2.63,2.73,2.68,2.75,2.77,5.54,5.72,4.46,4.27,4.58
6/14/18,71,2.6,,3.13,3.37,-,2.8,2.78,2.79,3.08,2.79
6/19/18,76,2.33,2.56,2.76,2.61,2.67,5.52,5.48,4.31,4.16,4.04
6/25/18,82,2.86,2.58,3.53,2.71,3.58,3.75,3.79,3.81,3.81,4.12
7/9/18,96,2.45,2.66,3.01,,3.84,4.01,3.98,3.94,4.15,4.25
7/18/18,105,2.58,2.72,2.87,2.9,2.88,5.3,5.4,4.66,4.42,4.09
7/27/18,114,2.47,2.67,2.69,2.75,2.86,5.31,5.37,4.58,4.53,4.23
8/2/18,120,2.43,,3.04,-,2.97,3.35,3.65,3.52,3.48,3.37
8/8/18,126,2.78,4.24,3.06,-,3,3.07,3.01,3.11,3.1,2.98
8/14/18,132,2.88,4.48,3.02,-,3.03,3.12,3.51,3.16,3.1,3.24
8/21/18,139,2.8,4.84,3.5,-,3.68,3.85,3.92,3.68,3.27,4.22